surrogate_key_captura_apontamento_horas,data_apontamento,codigo_matricula_colaborador_apontado,codigo_filial_apontada,codigo_projeto_apontado,codigo_cliente_projeto,codigo_segmento_mercado,indicador_tipo_hora_trabalhada,quantidade_horas_trabalhadas,tipo_despesa_apontada,valor_despesa_apontada
9213,09/01/2023,91,F2,188,26,2,HN,4.24,2,40.62
9214,24/01/2023,329,F3,247,45,1,HN,2.23,3,85.25
9215,10/01/2023,607,F2,35,24,4,HN,3.36,5,105.92
9216,04/01/2023,867,M1,145,31,5,HN,3.92,5,2.28
9217,04/01/2023,438,F3,136,42,3,HN,3.2,3,140.44
9218,08/01/2023,636,F3,55,96,7,HN,3.74,4,59.51
9219,06/01/2023,532,F2,225,12,5,HE,4.53,5,140.48
9220,25/01/2023,923,F3,180,85,3,HN,7.05,3,89.71
9221,20/01/2023,576,M1,57,91,4,HE,1.16,1,136.52
9222,07/01/2023,896,F3,115,44,4,HE,2.05,3,62.34
9223,21/01/2023,171,M1,199,38,2,HN,5.1,3,56.49
9224,15/01/2023,63,F3,13,91,4,HN,1.49,3,135.87
9225,20/01/2023,661,F2,53,77,2,HE,7.19,4,41.33
9226,11/01/2023,472,F2,185,57,4,HE,5.43,5,112.7
9227,28/01/2023,737,F2,31,85,1,HN,1.07,4,10.0
9228,10/01/2023,693,M1,126,85,5,HE,1.95,5,34.59
9229,07/01/2023,670,M1,77,94,2,HN,7.04,2,10.6
9230,08/01/2023,697,F2,205,96,6,HN,4.59,1,125.8
9231,17/01/2023,95,F3,105,90,1,HN,2.89,4,45.54
9232,18/01/2023,577,F3,134,5,5,HE,6.28,4,66.99
9233,07/01/2023,466,F2,176,37,3,HN,1.64,5,99.31
9234,01/01/2023,158,M1,201,78,4,HE,6.78,2,122.03
9235,04/01/2023,758,M1,197,21,2,HE,2.99,4,29.42
9236,05/01/2023,953,M1,130,35,2,HE,2.05,2,91.09
9237,30/01/2023,692,F3,247,79,2,HE,6.91,1,24.78
9238,17/01/2023,919,F3,185,66,4,HE,4.25,3,118.0
9239,18/01/2023,48,M1,206,53,2,HE,1.11,1,122.57
9240,07/01/2023,718,M1,94,69,1,HN,5.57,1,71.07
9241,09/01/2023,581,F3,232,22,2,HE,7.58,3,91.32
9242,14/01/2023,344,F3,208,40,2,HN,2.34,1,54.07
9243,17/01/2023,300,F2,48,59,3,HE,5.92,1,72.1
9244,24/01/2023,572,M1,89,94,3,HE,1.47,1,53.89
9245,17/01/2023,786,M1,110,42,2,HN,6.02,1,90.46
9246,29/01/2023,771,M1,152,21,3,HE,3.11,5,35.96
9247,04/01/2023,837,F3,188,21,6,HN,6.55,3,6.4
9248,30/01/2023,375,F2,221,28,5,HN,3.75,4,15.65
9249,22/01/2023,652,M1,83,59,1,HN,3.23,4,35.53
9250,29/01/2023,911,F2,129,49,3,HN,3.6,5,43.91
9251,04/01/2023,634,F2,67,48,4,HN,5.62,3,76.54
9252,03/01/2023,312,F2,123,31,1,HE,3.44,4,7.55
9253,22/01/2023,437,M1,178,29,1,HN,3.26,2,65.78
9254,19/01/2023,506,M1,97,59,6,HN,4.21,4,23.64
9255,14/01/2023,330,M1,240,100,2,HE,1.54,1,56.79
9256,10/01/2023,518,M1,91,26,6,HE,4.96,4,105.69
9257,20/01/2023,2,M1,217,47,3,HN,2.54,4,125.35
9258,28/01/2023,938,F3,176,62,4,HN,7.22,4,27.21
9259,23/01/2023,284,M1,76,97,6,HE,4.63,2,46.57
9260,18/01/2023,684,F2,142,5,2,HE,7.83,5,4.25
9261,12/01/2023,300,F2,140,27,3,HN,7.13,4,32.29
9262,11/01/2023,934,F3,171,65,6,HE,7.29,4,147.88
9263,03/01/2023,274,M1,64,13,1,HN,7.91,1,1.89
9264,15/01/2023,47,M1,216,41,4,HN,4.6,4,35.95
9265,23/01/2023,937,M1,157,87,3,HN,2.69,4,148.48
9266,11/01/2023,556,F2,239,75,3,HN,1.07,2,29.8
9267,12/01/2023,621,M1,27,50,6,HE,6.93,5,18.29
9268,12/01/2023,38,F3,212,82,7,HN,1.03,1,5.43
9269,25/01/2023,827,F3,18,10,3,HE,3.88,3,46.07
9270,03/01/2023,922,M1,11,97,4,HN,6.18,5,85.85
9271,28/01/2023,166,M1,188,76,1,HE,3.59,2,84.67
9272,02/01/2023,361,M1,139,14,5,HE,7.95,4,38.14
9273,21/01/2023,334,F2,80,36,1,HE,3.46,3,30.48
9274,02/01/2023,213,F2,160,93,1,HN,1.43,4,13.94
9275,26/01/2023,145,M1,215,79,1,HN,5.47,3,133.42
9276,15/01/2023,479,M1,235,69,7,HN,2.94,1,134.89
9277,22/01/2023,816,F2,112,15,2,HN,3.67,3,18.92
9278,02/01/2023,529,F2,50,35,6,HN,1.75,3,50.47
9279,01/01/2023,91,M1,217,39,5,HE,6.53,3,41.79
9280,01/01/2023,77,F2,130,86,6,HN,3.85,3,37.18
9281,12/01/2023,678,F2,128,81,7,HE,1.32,4,69.58
9282,27/01/2023,56,M1,199,65,4,HN,6.83,2,43.79
9283,16/01/2023,162,M1,58,38,4,HN,5.01,5,16.7
9284,12/01/2023,535,M1,175,39,4,HN,6.54,2,32.18
9285,17/01/2023,225,F2,8,49,1,HE,5.63,1,142.01
9286,11/01/2023,560,F2,41,71,2,HE,5.41,4,97.47
9287,05/01/2023,938,M1,132,22,1,HE,2.8,4,71.82
9288,13/01/2023,869,F2,77,92,1,HE,3.79,1,29.98
9289,29/01/2023,333,M1,78,42,2,HN,4.57,2,97.68
9290,04/01/2023,229,M1,241,13,6,HE,6.55,5,33.61
9291,19/01/2023,337,F2,199,46,5,HN,2.54,2,24.71
9292,01/01/2023,156,F3,240,19,2,HN,1.3,3,78.81
9293,03/01/2023,546,M1,131,22,7,HE,4.74,2,117.21
9294,06/01/2023,360,F2,147,26,2,HE,6.95,1,81.67
9295,01/01/2023,952,F2,97,47,1,HE,6.69,1,73.11
9296,11/01/2023,268,F2,222,87,1,HN,1.39,3,149.39
9297,06/01/2023,458,M1,201,6,4,HN,4.3,2,134.86
9298,02/01/2023,955,F2,229,30,7,HE,7.63,3,11.62
9299,14/01/2023,166,F2,189,65,6,HE,6.25,4,70.5
9300,04/01/2023,691,M1,159,66,2,HE,5.02,5,78.37
9301,13/01/2023,900,F3,184,70,5,HE,2.53,5,146.86
9302,03/01/2023,804,F3,38,46,3,HE,7.09,1,52.41
9303,04/01/2023,245,M1,183,90,1,HE,1.74,4,90.95
9304,08/01/2023,352,F2,161,51,3,HN,1.96,2,122.77
9305,27/01/2023,259,F3,93,75,7,HN,1.79,5,67.67
9306,26/01/2023,591,F2,66,18,6,HN,7.48,5,69.16
9307,02/01/2023,756,F2,20,45,2,HE,5.53,2,134.86
9308,27/01/2023,401,F3,97,77,1,HN,5.7,3,76.81
9309,26/01/2023,726,F3,7,96,5,HE,1.37,3,19.71
9310,04/01/2023,750,F3,64,77,5,HE,7.69,5,23.85
9311,18/01/2023,759,F2,208,6,5,HE,2.02,4,77.79
9312,27/01/2023,825,F3,221,74,6,HE,2.93,1,28.83
9313,18/01/2023,836,F3,122,7,3,HN,2.41,4,57.32
9314,21/01/2023,662,F3,216,24,7,HE,4.13,2,115.56
9315,21/01/2023,889,F3,235,80,2,HN,3.93,5,88.68
9316,24/01/2023,915,M1,236,72,3,HE,2.0,2,58.89
9317,14/01/2023,45,M1,66,42,3,HE,7.27,2,147.5
9318,29/01/2023,57,F3,33,92,3,HE,5.43,2,126.56
9319,07/01/2023,880,M1,58,70,5,HN,7.23,1,63.54
9320,12/01/2023,854,F2,34,43,1,HE,7.36,3,102.98
9321,25/01/2023,195,F2,85,45,6,HN,7.5,1,20.55
9322,20/01/2023,15,M1,169,72,6,HE,4.25,3,28.9
9323,12/01/2023,888,F3,69,61,6,HE,5.0,5,129.94
9324,12/01/2023,474,M1,79,50,6,HE,5.04,1,137.37
9325,02/01/2023,79,M1,193,69,2,HE,1.87,2,90.96
9326,25/01/2023,83,F2,96,9,4,HN,6.46,1,77.14
9327,08/01/2023,734,M1,10,19,3,HE,4.58,5,58.06
9328,22/01/2023,35,F2,187,16,5,HN,1.07,1,23.69
9329,24/01/2023,357,F2,155,27,1,HE,5.21,3,106.21
9330,29/01/2023,536,M1,37,46,4,HE,2.52,4,8.98
9331,09/01/2023,665,M1,74,18,6,HN,6.76,4,92.34
9332,20/01/2023,704,F2,23,95,7,HN,5.87,3,10.38
9333,09/01/2023,139,F2,64,57,5,HN,1.98,5,66.8
9334,20/01/2023,610,F3,79,2,7,HE,1.5,1,28.59
9335,26/01/2023,261,M1,31,31,7,HE,2.92,5,72.56
9336,22/01/2023,697,M1,236,82,1,HN,2.11,4,97.74
9337,19/01/2023,656,F2,202,19,7,HE,6.08,1,129.6
9338,17/01/2023,625,F2,135,19,6,HE,5.2,5,132.44
9339,14/01/2023,397,F3,216,45,4,HE,2.25,5,14.5
9340,25/01/2023,893,F3,71,8,6,HE,1.23,4,72.3
9341,08/01/2023,361,F3,148,72,6,HE,1.41,1,86.21
9342,14/01/2023,672,F3,112,76,5,HN,2.6,3,143.05
9343,26/01/2023,661,F3,243,27,1,HN,1.17,5,58.4
9344,12/01/2023,461,F2,222,83,2,HE,5.99,2,36.89
9345,04/01/2023,169,M1,109,57,4,HN,1.1,2,10.34
9346,27/01/2023,412,M1,229,17,7,HN,7.34,3,149.75
9347,04/01/2023,505,M1,179,17,2,HE,7.25,5,40.24
9348,19/01/2023,650,F3,172,18,3,HN,6.32,1,48.41
9349,21/01/2023,139,M1,113,87,4,HE,1.15,1,62.48
9350,23/01/2023,458,F3,132,86,6,HE,1.29,3,86.86
9351,19/01/2023,850,M1,156,64,6,HE,1.54,5,147.38
9352,16/01/2023,12,F2,152,21,2,HN,1.71,1,95.61
9353,02/01/2023,129,F3,240,91,2,HE,1.1,1,12.9
9354,22/01/2023,233,F3,83,68,2,HN,7.07,2,115.35
9355,12/01/2023,667,F3,100,2,4,HE,4.98,1,130.37
9356,21/01/2023,43,F2,101,68,7,HN,7.76,4,143.51
9357,16/01/2023,154,F3,167,23,5,HE,1.78,2,67.21
9358,23/01/2023,234,F2,132,95,3,HE,7.59,1,120.01
9359,26/01/2023,342,F2,133,50,2,HE,1.5,4,32.75
9360,07/01/2023,605,M1,229,2,2,HN,3.18,1,18.54
9361,03/01/2023,239,F2,88,68,4,HE,6.85,4,140.14
9362,25/01/2023,841,M1,218,32,7,HE,3.99,4,61.15
9363,08/01/2023,456,F3,123,63,2,HE,3.39,4,143.4
9364,24/01/2023,464,F3,65,6,6,HN,3.21,1,58.5
9365,14/01/2023,750,F2,55,45,1,HE,3.56,5,45.7
9366,03/01/2023,137,F3,17,36,7,HN,1.8,2,9.51
9367,20/01/2023,372,M1,30,19,4,HN,7.91,4,144.44
9368,01/01/2023,767,F3,150,100,5,HE,4.34,5,29.1
9369,12/01/2023,843,F3,202,53,2,HN,2.72,3,54.27
9370,03/01/2023,367,F3,24,45,5,HN,1.98,5,108.15
9371,24/01/2023,753,M1,61,68,7,HE,4.54,4,78.95
9372,29/01/2023,458,F3,188,34,2,HE,4.6,4,63.99
9373,09/01/2023,864,F3,97,12,7,HE,2.64,2,66.93
9374,04/01/2023,429,F3,122,24,4,HE,1.85,3,6.18
9375,13/01/2023,751,F2,237,64,6,HE,7.82,1,143.77
9376,07/01/2023,19,F3,227,60,7,HE,3.32,4,74.19
9377,10/01/2023,94,F2,75,23,6,HN,3.08,1,91.58
9378,01/01/2023,11,F2,2,94,1,HE,7.6,3,127.21
9379,17/01/2023,824,M1,202,98,7,HE,4.38,2,111.1
9380,27/01/2023,895,F3,82,70,7,HE,2.27,1,2.77
9381,15/01/2023,219,F2,64,31,1,HE,4.5,1,92.88
9382,04/01/2023,292,F2,79,49,7,HN,7.81,2,95.31
9383,25/01/2023,859,F3,200,74,5,HN,7.39,5,89.73
9384,01/01/2023,597,F3,117,80,5,HE,7.87,1,69.02
9385,18/01/2023,209,M1,174,45,6,HN,3.48,5,104.28
9386,05/01/2023,804,F3,156,89,5,HN,3.6,5,147.46
9387,07/01/2023,615,F2,52,31,6,HE,1.1,5,44.42
9388,08/01/2023,280,F2,169,76,3,HN,1.14,5,44.54
9389,24/01/2023,754,F3,96,81,4,HE,5.3,2,11.79
9390,23/01/2023,56,F3,189,100,3,HE,4.74,1,80.13
9391,09/01/2023,178,F2,154,14,6,HE,2.8,1,117.81
9392,13/01/2023,905,M1,27,76,7,HE,1.81,5,43.59
9393,22/01/2023,300,M1,82,78,5,HE,6.12,5,72.71
9394,29/01/2023,521,M1,213,81,1,HN,1.53,3,18.62
9395,21/01/2023,930,F2,55,17,1,HE,7.36,1,38.3
9396,15/01/2023,201,M1,239,78,4,HE,6.41,5,39.4
9397,12/01/2023,492,F3,109,14,1,HE,4.51,1,5.22
9398,21/01/2023,508,F2,58,98,2,HE,6.81,1,36.9
9399,29/01/2023,431,F3,3,65,6,HE,6.0,3,82.57
9400,25/01/2023,305,F2,208,17,3,HN,5.47,5,53.13
9401,17/01/2023,938,M1,138,98,5,HE,5.72,1,78.45
9402,11/01/2023,595,F3,163,54,7,HN,1.5,5,116.01
9403,23/01/2023,252,F3,14,35,3,HE,2.87,4,68.5
9404,30/01/2023,673,F3,16,64,5,HE,7.58,3,45.59
9405,09/01/2023,454,M1,49,29,3,HN,6.4,1,82.31
9406,01/01/2023,139,M1,118,38,1,HE,3.32,1,149.15
9407,14/01/2023,389,F2,161,46,2,HE,4.18,1,92.75
9408,02/01/2023,852,M1,63,37,2,HN,5.88,2,71.25
9409,09/01/2023,399,F3,119,100,5,HN,1.71,1,5.07
9410,24/01/2023,615,F3,51,30,3,HN,3.02,1,106.75
9411,23/01/2023,785,M1,31,28,6,HN,6.43,1,37.7
9412,03/01/2023,410,F3,216,92,3,HE,6.56,5,83.99
9413,26/01/2023,554,M1,172,68,6,HE,4.01,5,93.48
9414,25/01/2023,374,F2,83,93,6,HE,3.02,3,46.29
9415,02/01/2023,439,M1,149,78,4,HN,2.94,5,116.17
9416,28/01/2023,210,M1,24,4,4,HN,1.69,4,130.4
9417,17/01/2023,582,F2,142,46,3,HE,1.61,5,65.88
9418,03/01/2023,310,F3,12,38,5,HE,7.81,4,104.68
9419,01/01/2023,791,F3,91,82,3,HN,7.84,2,78.32
9420,03/01/2023,642,F2,220,25,2,HN,1.11,3,132.13
9421,02/01/2023,788,F3,65,96,3,HE,5.03,5,42.02
9422,07/01/2023,205,F2,132,34,6,HN,7.02,5,138.73
9423,08/01/2023,372,M1,183,77,4,HN,4.45,2,73.25
9424,21/01/2023,714,F3,137,23,1,HE,6.51,4,111.11
9425,13/01/2023,713,F3,177,64,3,HN,4.6,5,111.67
9426,25/01/2023,765,F2,123,82,3,HN,3.64,4,52.78
9427,11/01/2023,275,M1,97,8,1,HE,7.6,4,62.19
9428,17/01/2023,496,F3,126,21,3,HE,6.93,5,143.84
9429,27/01/2023,280,M1,29,41,6,HE,1.62,5,23.9
9430,08/01/2023,808,F3,154,65,4,HN,2.12,3,136.14
9431,16/01/2023,390,F3,150,70,7,HE,7.56,2,148.18
9432,09/01/2023,183,F3,142,90,6,HE,1.28,1,63.81
9433,24/01/2023,888,F2,188,24,7,HN,3.83,2,32.87
9434,13/01/2023,139,F3,223,100,3,HE,6.45,4,86.86
9435,27/01/2023,804,F2,212,93,7,HE,6.47,5,148.44
9436,07/01/2023,58,F2,138,21,6,HE,7.48,3,19.56
9437,28/01/2023,592,F3,71,43,3,HN,7.9,5,103.75
9438,07/01/2023,550,F3,12,41,1,HE,2.15,3,107.46
9439,13/01/2023,757,F2,63,63,3,HN,7.83,5,89.76
9440,16/01/2023,706,F2,54,73,4,HE,4.39,1,49.1
9441,03/01/2023,53,F2,78,85,3,HE,2.79,3,139.64
9442,10/01/2023,554,F2,106,66,7,HE,6.88,4,130.59
9443,03/01/2023,293,F2,216,65,7,HE,3.88,2,69.5
9444,08/01/2023,707,F3,195,17,6,HN,4.55,3,143.93
9445,14/01/2023,953,M1,72,95,5,HN,5.21,3,66.84
9446,10/01/2023,545,F3,96,71,5,HN,2.22,2,81.52
9447,13/01/2023,949,F3,171,24,4,HN,7.4,3,69.28
9448,14/01/2023,98,F3,19,57,7,HN,2.19,4,68.39
9449,14/01/2023,393,M1,75,3,6,HE,1.71,4,116.59
9450,04/01/2023,877,M1,214,45,3,HN,6.45,4,2.22
9451,11/01/2023,606,F2,173,99,5,HN,2.47,1,124.78
9452,16/01/2023,384,F2,85,39,1,HN,2.58,4,39.02
9453,24/01/2023,349,F3,228,5,4,HN,2.26,5,20.62
9454,03/01/2023,614,F2,92,80,4,HE,1.09,2,4.84
9455,14/01/2023,951,F2,227,97,6,HE,6.48,3,113.17
9456,16/01/2023,124,F2,93,6,4,HN,3.05,2,89.84
9457,13/01/2023,195,F3,185,37,6,HE,1.83,4,68.54
9458,03/01/2023,641,F3,9,38,2,HE,2.44,5,15.98
9459,16/01/2023,61,F3,59,71,1,HN,7.48,2,71.79
9460,25/01/2023,375,M1,78,97,1,HN,6.52,4,65.78
9461,07/01/2023,882,F3,30,16,6,HE,1.23,4,85.69
9462,25/01/2023,370,M1,52,66,7,HE,6.62,2,13.75
9463,06/01/2023,843,M1,71,64,5,HN,6.3,1,80.86
9464,05/01/2023,923,F3,26,46,6,HN,1.17,1,27.7
9465,25/01/2023,298,M1,83,16,4,HN,1.14,2,6.26
9466,08/01/2023,41,F2,177,58,7,HN,4.96,3,15.53
9467,18/01/2023,87,F3,71,39,6,HN,3.42,3,136.63
9468,11/01/2023,505,F3,112,97,1,HE,6.47,4,148.28
9469,13/01/2023,948,M1,169,13,7,HE,5.38,3,129.98
9470,03/01/2023,930,F2,207,69,4,HN,3.24,3,16.75
9471,23/01/2023,183,F2,191,36,5,HN,3.02,4,88.49
9472,22/01/2023,139,F3,122,45,2,HN,1.98,4,25.16
9473,19/01/2023,136,F2,97,13,1,HE,4.49,3,142.66
9474,27/01/2023,488,M1,26,84,4,HE,4.59,2,44.85
9475,09/01/2023,771,M1,80,99,7,HE,2.13,1,113.97
9476,05/01/2023,537,M1,141,75,5,HE,4.86,5,19.58
9477,04/01/2023,512,M1,157,78,6,HE,1.41,3,87.73
9478,15/01/2023,710,M1,42,80,6,HE,6.48,5,81.74
9479,02/01/2023,435,M1,201,59,7,HN,7.01,3,114.38
9480,22/01/2023,882,F2,24,74,6,HN,2.47,2,5.74
9481,04/01/2023,483,M1,123,20,1,HN,3.9,4,75.07
9482,25/01/2023,642,F2,76,94,2,HN,7.87,2,111.17
9483,03/01/2023,481,F3,33,21,1,HE,3.81,2,53.57
9484,06/01/2023,392,F2,90,19,1,HE,7.52,3,100.8
9485,24/01/2023,546,M1,86,94,7,HN,5.76,5,143.55
9486,18/01/2023,291,F3,55,17,6,HN,7.63,1,7.68
9487,03/01/2023,156,M1,134,75,4,HN,1.1,3,71.51
9488,12/01/2023,143,F2,17,24,7,HE,3.46,5,21.46
9489,30/01/2023,637,F2,233,68,1,HE,3.55,4,91.68
9490,23/01/2023,603,M1,70,21,3,HE,5.99,4,84.43
9491,30/01/2023,554,F3,217,35,3,HE,6.72,5,23.09
9492,28/01/2023,194,M1,223,52,6,HE,7.56,4,14.99
9493,01/01/2023,491,F3,160,91,4,HE,4.16,1,13.11
9494,12/01/2023,936,F3,97,27,7,HE,5.02,3,52.29
9495,23/01/2023,958,F2,178,37,6,HE,7.67,3,129.56
9496,15/01/2023,13,F2,50,95,1,HE,1.36,3,59.29
9497,16/01/2023,220,M1,3,73,4,HN,6.64,4,69.79
9498,30/01/2023,837,M1,129,77,6,HE,5.57,4,77.41
9499,20/01/2023,403,M1,75,24,1,HE,1.39,3,34.52
9500,11/01/2023,64,F3,131,27,4,HE,5.09,5,112.11
9501,11/01/2023,668,F3,160,85,1,HE,6.1,1,42.96
9502,06/01/2023,275,M1,16,76,5,HE,7.87,4,103.38
9503,06/01/2023,175,F2,163,7,7,HE,7.43,4,40.23
9504,13/01/2023,270,M1,243,65,5,HE,2.3,3,74.84
9505,07/01/2023,857,F3,208,100,3,HN,5.57,4,20.99
9506,15/01/2023,156,F2,6,90,2,HN,5.77,5,96.05
9507,16/01/2023,681,F3,61,33,5,HN,3.21,5,119.78
9508,17/01/2023,527,F3,242,39,4,HN,6.63,4,82.3
9509,05/01/2023,214,F2,250,87,7,HN,4.04,4,133.53
9510,13/01/2023,928,F2,154,41,4,HN,6.28,1,122.54
9511,24/01/2023,560,F3,199,81,1,HE,1.81,5,16.71
9512,30/01/2023,879,F2,238,67,3,HN,6.14,2,113.37
9513,14/01/2023,386,F3,43,57,6,HE,6.53,3,74.88
9514,03/01/2023,945,M1,84,6,3,HN,5.44,1,53.62
9515,01/01/2023,400,F3,66,27,6,HN,7.17,4,84.9
9516,19/01/2023,350,F3,119,2,7,HE,2.27,1,38.82
9517,25/01/2023,735,F3,39,87,7,HE,6.27,1,70.65
9518,02/01/2023,458,F2,2,86,3,HE,5.73,3,27.71
9519,01/01/2023,670,M1,25,11,6,HE,3.61,1,52.82
9520,25/01/2023,758,F3,46,61,7,HN,1.57,5,18.6
9521,10/01/2023,415,M1,110,61,3,HN,4.24,5,118.47
9522,10/01/2023,470,M1,40,57,3,HN,5.97,2,132.41
9523,27/01/2023,216,F2,128,61,5,HE,3.42,2,65.75
9524,22/01/2023,802,F3,161,28,7,HN,5.38,5,61.99
9525,19/01/2023,405,M1,223,78,7,HN,5.13,3,37.32
9526,28/01/2023,679,F2,224,58,4,HE,1.87,2,24.04
9527,16/01/2023,151,F2,113,55,5,HN,5.65,5,2.51
9528,28/01/2023,218,F2,206,64,6,HE,3.55,3,11.83
9529,20/01/2023,620,M1,19,39,6,HE,1.16,3,33.79
9530,10/01/2023,91,M1,22,10,6,HE,4.83,4,2.93
9531,07/01/2023,208,M1,225,14,3,HN,5.42,3,142.92
9532,17/01/2023,720,M1,133,96,6,HN,5.59,4,146.37
9533,10/01/2023,481,F2,108,22,5,HN,5.01,2,51.62
9534,05/01/2023,206,F2,97,25,5,HE,2.85,3,26.93
9535,16/01/2023,608,F3,14,18,3,HN,3.93,4,50.93
9536,23/01/2023,92,M1,186,38,6,HN,5.69,3,54.05
9537,20/01/2023,915,F2,73,17,1,HE,4.41,3,40.95
9538,17/01/2023,949,F3,92,78,4,HE,3.88,1,19.55
9539,11/01/2023,646,F3,40,15,4,HN,7.51,4,58.25
9540,12/01/2023,813,M1,47,58,6,HE,5.68,4,117.8
9541,20/01/2023,62,F3,42,91,3,HN,1.77,5,75.17
9542,23/01/2023,512,F2,166,56,6,HE,6.79,3,62.42
9543,07/01/2023,207,F3,11,41,1,HN,4.05,5,64.37
9544,17/01/2023,13,F3,6,33,1,HN,4.28,5,138.27
9545,22/01/2023,437,F2,187,10,6,HN,5.12,5,107.54
9546,15/01/2023,559,M1,20,71,4,HN,3.65,3,145.92
9547,18/01/2023,106,F3,2,63,3,HE,7.21,2,87.09
9548,12/01/2023,855,F2,19,1,6,HE,2.5,4,34.6
9549,28/01/2023,51,F2,87,81,4,HE,1.23,1,65.67
9550,17/01/2023,244,M1,218,3,5,HN,2.46,1,3.19
9551,16/01/2023,287,F2,10,4,6,HN,6.92,1,24.69
9552,24/01/2023,682,M1,90,44,7,HN,7.72,5,41.66
9553,29/01/2023,361,F3,7,42,7,HE,7.77,4,24.2
9554,29/01/2023,22,F2,189,20,3,HE,2.42,1,36.08
9555,01/01/2023,155,M1,68,30,2,HN,3.84,3,111.68
9556,16/01/2023,295,F2,131,73,3,HN,3.81,4,73.75
9557,21/01/2023,925,M1,35,76,6,HE,5.43,1,76.02
9558,09/01/2023,828,F2,168,97,7,HE,3.59,1,60.87
9559,13/01/2023,272,F3,69,40,6,HN,1.12,1,28.43
9560,28/01/2023,881,M1,162,52,1,HN,3.91,5,47.57
9561,04/01/2023,68,F2,242,74,5,HN,7.94,4,14.39
9562,09/01/2023,31,F2,227,80,4,HE,4.47,4,55.78
9563,28/01/2023,691,F3,132,78,7,HN,7.41,3,28.45
9564,06/01/2023,205,M1,217,33,7,HN,6.86,4,91.9
9565,01/01/2023,227,F2,61,47,4,HN,4.74,4,146.16
9566,15/01/2023,440,F3,215,25,2,HE,2.12,2,96.65
9567,02/01/2023,936,F2,23,77,5,HE,2.55,5,118.76
9568,05/01/2023,588,F2,33,57,1,HE,7.39,4,74.54
9569,27/01/2023,753,F2,42,21,6,HE,2.22,4,41.91
9570,15/01/2023,255,M1,109,98,3,HE,2.74,3,55.19
9571,29/01/2023,329,F3,58,81,4,HE,5.58,5,113.37
9572,06/01/2023,640,F3,143,84,2,HN,5.89,1,76.3
9573,28/01/2023,906,F3,39,39,2,HE,5.71,2,7.06
9574,20/01/2023,386,M1,209,40,4,HN,7.72,1,125.61
9575,03/01/2023,723,F2,12,41,7,HN,4.29,1,105.32
9576,16/01/2023,49,F3,82,57,6,HE,5.74,2,13.25
9577,24/01/2023,804,F3,2,25,2,HE,1.12,5,89.39
9578,25/01/2023,406,F2,149,71,4,HE,4.66,1,58.3
9579,29/01/2023,101,M1,224,97,1,HN,1.89,5,16.07
9580,29/01/2023,792,M1,166,4,2,HE,1.49,5,143.08
9581,21/01/2023,445,M1,204,64,5,HN,7.59,4,51.1
9582,15/01/2023,568,F2,215,45,6,HE,5.79,4,147.94
9583,13/01/2023,317,F2,6,76,7,HE,1.38,2,83.09
9584,19/01/2023,758,M1,137,15,1,HE,3.81,2,136.36
9585,02/01/2023,25,F3,141,17,1,HE,5.97,1,8.04
9586,06/01/2023,613,F3,211,18,3,HE,2.04,3,132.32
9587,06/01/2023,67,F3,63,28,7,HN,4.8,2,47.19
9588,06/01/2023,383,F3,205,90,3,HN,4.94,3,57.43
9589,24/01/2023,355,M1,126,40,2,HN,7.97,4,136.0
9590,17/01/2023,47,M1,198,10,7,HN,6.07,4,97.99
9591,14/01/2023,602,F3,65,42,3,HE,7.78,5,82.58
9592,08/01/2023,473,M1,92,70,3,HE,2.75,2,123.41
9593,22/01/2023,950,F3,128,76,6,HN,7.84,5,130.81
9594,07/01/2023,266,F3,6,44,2,HE,6.82,4,117.21
9595,05/01/2023,687,M1,202,69,7,HN,6.27,4,85.13
9596,07/01/2023,644,M1,33,95,2,HN,3.88,1,23.97
9597,22/01/2023,358,M1,41,27,4,HN,2.51,2,100.73
9598,24/01/2023,760,F2,178,51,1,HE,3.91,5,71.91
9599,25/01/2023,499,F3,121,60,2,HN,3.96,2,114.11
9600,14/01/2023,778,F3,221,44,7,HN,6.95,2,10.02
9601,25/01/2023,694,M1,59,96,4,HN,1.65,1,3.1
9602,12/01/2023,361,M1,80,48,5,HN,7.16,4,145.28
9603,05/01/2023,952,M1,47,13,5,HN,1.26,4,5.95
9604,09/01/2023,64,F3,195,52,7,HE,2.81,4,147.25
9605,29/01/2023,11,M1,80,51,4,HE,1.05,3,8.33
9606,11/01/2023,562,M1,129,65,1,HN,5.64,4,134.56
9607,08/01/2023,258,M1,6,68,6,HE,4.12,3,142.36
9608,19/01/2023,913,M1,194,41,2,HE,3.51,4,14.3
9609,03/01/2023,796,F2,194,46,5,HE,1.61,3,29.66
9610,12/01/2023,649,F3,189,92,6,HE,1.01,5,143.81
9611,09/01/2023,841,F3,208,62,2,HE,3.2,5,123.37
9612,21/01/2023,531,M1,70,57,1,HE,1.78,5,118.02
9613,11/01/2023,235,M1,249,19,4,HE,3.0,3,103.9
9614,26/01/2023,433,M1,181,77,5,HE,1.04,1,81.57
9615,18/01/2023,173,F3,150,32,2,HE,4.62,2,93.89
9616,07/01/2023,868,F3,88,15,7,HE,6.33,5,145.84
9617,24/01/2023,591,F2,216,69,6,HE,4.39,5,14.59
9618,25/01/2023,777,F2,34,93,3,HN,7.96,1,15.2
9619,10/01/2023,833,M1,247,73,7,HE,1.85,5,17.88
